,energy,valance,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
39,0.413,0.29,James Bay - Bad-fyrsExw_LUg.wav,135.9991776,172448,1277.392593,0.299033076,0.316707134,0.100303404,0.412192345,0.308800519,0.095357761,0.23080103,0.173017972,0.029935219,5.135118484,50.50239182,2550.491455,-10.48644257,73.08816528,5341.880371,0.006684775,2.666661739,7.111084461,0.11864496,0.091338359,0.008342695,1165.26537,830.6088318,689911.0315,1251.835698,572.0674734,327261.1942,26.76981227,13.78920112,190.1420674,2181.853473,1600.956424,2563061.47,1.017594242,1.581570362,2.501364808,0.025979468,0.103651613,0.010743657,0.066113735,0.068404641,0.004679195,-1.04E-06,0.135060176,0.018241251,-7.17E-06,0.041716289,0.001740249,12.92770975,5.735638428,32.89754818
40,0.715,0.42,James Bay - Peer Pressure ft. Julia Michaels-e-9aaLDIb_Y.wav,135.9991776,172865,1290.037313,0.288236231,0.311216354,0.096855611,0.369221509,0.293116361,0.085917205,0.224664548,0.181270997,0.032859174,7.339140892,59.83677673,3580.439697,-4.057991028,57.55693054,3312.800049,0.012589959,2.757096767,7.601583004,0.153572947,0.089719959,0.008049672,1211.924281,636.4405628,405056.59,1430.883998,374.8537311,140515.3197,27.54683344,14.69300834,215.884494,2456.647645,1192.441005,1421915.55,1.471271135,2.077352774,4.315394549,0.008885074,0.098594774,0.009720929,0.050343422,0.043986052,0.001934773,5.60E-06,0.148081064,0.021928001,-1.35E-05,0.0663867,0.004407194,3.203192744,1.201763889,1.444236445
41,0.589,0.264,James TW - Incredible-AuDux09cl3A.wav,123.046875,145532,1564.860215,0.310169339,0.304969668,0.093006507,0.39519155,0.292027891,0.085280284,0.225590813,0.170646989,0.029120395,5.585878849,55.4703331,3076.958008,-4.355393887,65.387146,4275.479004,0.010714503,2.366372347,5.599717617,0.130528286,0.08518564,0.007256594,1121.819747,784.4049197,615291.078,1226.863525,622.863983,387959.5413,24.3243637,14.30031607,204.4990397,2212.540788,1603.730551,2571951.68,1.445406641,2.017282438,4.069428433,0.031551089,0.086721618,0.007520639,0.055092448,0.048532342,0.002355388,-3.02E-06,0.117003001,0.013689702,-4.69E-05,0.06568832,0.004314955,11.35687982,1.031287564,1.06355404
42,0.396,0.506,James TW - Suitcase (Official Audio)-m3mjuAWbKq8.wav,117.4538352,147462,1271.224138,0.31298703,0.307397187,0.094493039,0.389724582,0.293923229,0.08639086,0.236396591,0.16568037,0.027449985,7.885814667,59.94472504,3593.369873,-2.918983698,56.81461716,3227.900635,0.013557338,3.491432667,12.19010162,0.170178398,0.079490975,0.006318815,1652.989002,924.9743936,855577.6289,1697.287685,525.3575317,276000.5362,26.73886314,16.58360895,275.0160859,3411.883535,1765.108968,3115609.67,1.703622271,2.150107755,4.622963358,0.023337624,0.089921645,0.008085902,0.072730286,0.072122778,0.005201695,1.66E-05,0.162143841,0.026290627,1.03E-05,0.062774017,0.003940578,2.393977324,0.992253081,0.984566178
43,0.0848,0.206,Jeremy Zucker & Chelsea Cutler - you were good to me (lyrics)-sHiC_26vBP4.wav,103.359375,132091,1282.436893,0.242394641,0.300248355,0.090149075,0.391294956,0.288064867,0.082981363,0.230015059,0.174431666,0.030426406,0.871767402,7.679159641,58.96949387,-12.74316692,91.91188049,8447.793945,0.007106715,2.926077366,8.561928749,0.048368208,0.036908168,0.001362213,851.0876191,510.2975523,260403.5919,1039.2431,416.5822969,173540.8101,26.32098737,12.7436377,162.4003018,1480.15355,1060.661777,1125003.405,0.407039019,0.635055476,0.403295457,-0.02152992,0.101483208,0.010298842,0.042938705,0.032737028,0.001071713,-3.21E-07,0.05395259,0.002910882,-1.50E-05,0.018501965,0.000342323,6.163736961,3.762187849,14.15405741
44,0.278,0.741,"Jeremy Zucker - always, ill care (Lyric Video)-N6SQ9QoSjCI.wav",107.6660156,134921,1297.317308,0.253174692,0.304756194,0.092876345,0.442772418,0.284050256,0.080684543,0.252285645,0.140304264,0.019685287,6.307256699,40.46247864,1637.212036,-9.472533226,63.35447311,4013.789063,0.012100074,3.916076899,15.33565903,0.147279009,0.076001272,0.005776193,1388.922311,805.7577227,649245.5077,1370.907287,421.483344,177648.2093,26.24294311,15.84951711,251.2071926,2405.739619,1517.698368,2303408.336,1.450006396,2.048893444,4.197964347,-0.026074367,0.085006302,0.007226071,0.078591739,0.058174521,0.003384275,-6.99E-07,0.132908911,0.017664779,-1.32E-05,0.075156443,0.005648491,4.509315193,2.298489347,5.283053281
45,0.36,0.445,"Jeremy Zucker - oh, mexico (Lyric Video)--uxeu0MbNR0.wav",78.30255682,98130,1274.415584,0.317679167,0.32288444,0.104254365,0.481882513,0.283952802,0.080629192,0.25193096,0.140940146,0.019864125,3.705655575,30.51994324,931.46698,-7.903917789,67.2742157,4525.819824,0.004460117,2.434769869,5.928104401,0.105048127,0.070124313,0.00491742,1244.485329,823.8531875,678734.0746,1187.092684,524.4107467,275006.6312,25.96191179,13.85696836,192.0155722,2288.565328,1574.795563,2479981.065,1.043165279,1.455837968,2.119464189,-0.002401115,0.085395497,0.007292391,0.079557909,0.072626603,0.005274624,7.22E-06,0.107966192,0.011656699,6.28E-06,0.045075536,0.002031804,9.885895692,2.612155887,6.823358376
46,0.596,0.649,Joel Adams - Fake Friends (Official Music Video)-IIMdhihx4i4.wav,172.265625,215093,1387.696774,0.425361365,0.307263762,0.094411023,0.496219307,0.28658241,0.082129478,0.260247799,0.124917639,0.015604417,16.86399841,180.2976074,32507.22656,-0.324252546,47.74950027,2280.014648,0.011750575,3.526234627,12.43432999,0.223169491,0.15844354,0.025104357,1995.266224,860.2294065,739994.6318,1899.467066,345.5021895,119371.7629,25.36733163,17.2198495,296.523217,4076.50035,1433.175933,2053993.255,2.408555656,3.401892042,11.57286947,0.012726059,0.074336832,0.005525965,0.097001681,0.082868766,0.006867232,-6.23E-06,0.196936131,0.038783837,-1.97E-06,0.147003874,0.021610139,6.654839002,2.078301389,4.319336664
47,0.768,0.235,Joel Adams - Please Dont Go (Official Music Video)-S2oxFIsENgM.wav,83.35433468,102980,1303.544304,0.352102965,0.305194497,0.093143679,0.474202842,0.267658532,0.071641095,0.258760389,0.127970288,0.016376395,6.078541756,56.22081375,3160.780029,-1.478288293,51.76144028,2679.246826,0.009839482,2.572272778,6.616587162,0.150548175,0.074302711,0.005520893,1840.96412,749.4614371,561692.4457,1671.68809,386.7330152,149562.425,25.6776581,16.84685332,283.8164668,3545.411895,1309.57675,1714991.263,1.850180378,2.233597435,4.988957502,0.01258893,0.072519779,0.005259118,0.103063058,0.076498952,0.00585209,9.12E-07,0.116347834,0.013536818,2.39E-05,0.086938761,0.007558348,5.229133787,1.632027525,2.663513842
48,0.581,0.329,John K - 6 months (Audio)-BIJFhBjt3mc.wav,143.5546875,181040,1274.929577,0.278856665,0.305942625,0.093600892,0.430403113,0.283948153,0.080626547,0.24627509,0.150605157,0.022681913,6.373434544,42.77409744,1829.623291,-6.715860844,56.17509079,3155.640869,0.008349173,3.190057278,10.17646599,0.152652264,0.076174982,0.005802628,1618.500347,724.784895,525313.144,1694.963377,461.0597454,212576.0889,27.7453282,16.64022377,276.8970471,3320.188257,1526.605628,2330524.744,1.616284291,2.062894427,4.255533416,-0.006295126,0.08750454,0.007657045,0.075404495,0.051750163,0.002678079,1.99E-06,0.144497365,0.02087949,-9.80E-07,0.055807501,0.003114477,3.79414059,1.591429357,2.532647399
