,energy,valance,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
21,0.758,0.492,Ellie Goulding - Sixteen-oXwiVsWJqRs.wav,107.6660156,136130,1272.242991,0.334852576,0.312853247,0.097877145,0.469766617,0.288580388,0.083278641,0.249716623,0.144827282,0.020974942,13.22403622,94.48334503,8927.102539,0.39239347,46.38351059,2151.429932,0.011886143,2.852358103,8.135946274,0.230807394,0.085964642,0.00738992,1967.105203,737.3396829,543669.808,1832.608127,422.0263369,178106.229,26.38651638,17.40095562,302.7932564,4042.29639,1300.989191,1692572.876,2.543684328,2.907655366,8.454459726,0.00705533,0.077010581,0.00593063,0.103425678,0.066798064,0.004461981,3.04E-05,0.176325366,0.031090636,-1.52E-05,0.12223766,0.014942045,4.051882086,1.995031965,3.98015254
22,0.801,0.541,"Ellie Goulding, Diplo, Swae Lee - Close To Me (Official Video)-ajN57m_OSpY.wav",143.5546875,177788,1260.907801,0.331687927,0.300559342,0.09033592,0.4188914,0.293522984,0.086155735,0.236347535,0.165750343,0.027473176,20.16739082,157.7242279,24876.93164,3.020018816,46.91843414,2201.3396,0.01376971,2.606747627,6.795133591,0.264958113,0.137984902,0.019039832,1576.551686,579.0739252,335326.6108,1667.77373,372.479522,138740.9943,25.65718929,16.22205815,263.1551705,3340.113136,1175.301241,1381333.007,2.937518144,3.718767052,13.82922839,0.009046223,0.091954837,0.008455692,0.069197616,0.040516618,0.001641596,1.34E-05,0.249225199,0.062113203,-7.49E-06,0.112649739,0.012689964,2.374240363,1.110168227,1.232473492
23,0.769,0.2,End of the World - Lost (Official Video) ft. Clean Bandit-OWTghqOhWcs.wav,123.046875,146214,1491.979592,0.297902703,0.307915062,0.094811678,0.39092049,0.31194672,0.097310759,0.217322465,0.152011952,0.023107634,13.76278591,142.8770294,20413.84375,-2.400700808,59.92446518,3590.941406,0.013138931,2.598613739,6.752792835,0.198418111,0.141993403,0.020162128,1417.28639,908.8279659,825968.2715,1578.296256,791.2860733,626133.6498,23.76095194,16.51891921,272.8746919,3163.635037,1964.904089,3860848.081,2.072887558,2.999045769,8.994275525,0.007093599,0.065453451,0.004284154,0.056366439,0.055875431,0.003122064,1.36E-06,0.183216199,0.033568177,-2.09E-05,0.105304956,0.011089133,12.97298866,1.648732876,2.718320096
24,0.871,0.448,Faustix - Lose Myself (Official Music Video)-qPrDR8AxuSk.wav,107.6660156,128046,1231.211538,0.376034975,0.29188931,0.085199364,0.437690794,0.279508024,0.078124732,0.241674684,0.157881857,0.024926681,13.0527401,73.54798889,5409.307129,1.986835957,44.40164185,1971.505737,0.010653542,2.245631218,5.042859554,0.233591795,0.081643313,0.006665631,1834.896078,476.0537953,226627.216,1749.988266,301.5915424,90957.45842,25.9232507,17.56894144,308.6677033,3775.431337,937.5554939,879010.3042,3.076572622,3.579381964,12.81197524,0.005388933,0.081813444,0.00669344,0.09412736,0.04529309,0.002051464,-2.92E-07,0.202300891,0.040925652,2.98E-05,0.08785712,0.007718873,6.17999093,3.562922345,12.69441563
25,0.795,0.726,Galantis & Dolly Parton - Faith feat. Mr. Probz [Official Music Video]-KA07g2lvgbo.wav,78.30255682,96297,1553.177419,0.302659988,0.303184271,0.091920711,0.445928454,0.28975302,0.083956808,0.239541869,0.138726638,0.01924508,6.684979916,56.84770584,3231.661865,-7.214449406,56.98408508,3247.185791,0.011322873,1.838930249,3.381664515,0.144778818,0.102439784,0.01049391,1791.032137,809.1479067,654720.335,1682.878183,628.7499387,395326.4854,24.13594783,17.66057466,311.8958973,3730.93994,1678.648985,2817862.416,1.94024712,2.752591699,7.576761063,0.013209249,0.074530425,0.005554784,0.094800069,0.061131506,0.003737061,7.18E-07,0.137942687,0.019028185,2.62E-05,0.07058125,0.004981712,16.5906576,2.762193923,7.629715266
26,0.907,0.458,Galantis - Bones (feat. OneRepublic) [Official Audio]-DHwxF48LxPU.wav,117.4538352,148095,1265.769231,0.361241013,0.296501637,0.087913223,0.474171996,0.280810058,0.078854293,0.253881646,0.137395207,0.018877443,9.174660683,82.10286713,6740.881348,1.258918166,45.78910065,2096.641846,0.013366521,2.653393745,7.040498734,0.1823726,0.08508686,0.007239774,1738.378362,699.8215139,489750.1513,1798.914666,413.8309262,171256.0354,25.86460683,17.64338104,311.2888944,3743.139866,1407.018646,1979701.47,2.132457827,2.553733605,6.521555323,0.014971486,0.074294201,0.005519628,0.077824737,0.052968438,0.002805655,-2.04E-05,0.16018483,0.025659179,-3.04E-05,0.078672707,0.006189394,4.042594104,2.385017158,5.688306842
27,0.718,0.5768,Good Life - Lyric Video _ Mass Anthem-6f2MmrHGBko.wav,143.5546875,174612,1353.581395,0.336003274,0.299322903,0.089594193,0.507952631,0.286207229,0.081914581,0.252542075,0.139842174,0.019555834,9.533205032,73.09042358,5342.209961,0.423532426,54.64953613,2986.571777,0.012322125,2.446178198,5.983788013,0.183337182,0.087899417,0.007726307,1541.244105,749.7158267,562073.8207,1674.216847,596.9788314,356383.7252,25.04713838,15.85437908,251.3613359,3359.87135,1695.163558,2873579.489,2.070166009,2.626823324,6.900200774,-0.001057751,0.08206947,0.006735398,0.06910578,0.047185691,0.002226489,7.04E-06,0.155291051,0.024115311,-1.41E-05,0.085550338,0.00731886,8.407945578,2.614518432,6.835706632
28,0.788,0.234,Gryffin & Slander - All You Need To Know ft. Calle Lehmann (Official Music Video)-QShq1KGbEOk.wav,143.5546875,173271,1343.186047,0.339534789,0.296993583,0.088205181,0.38195461,0.277923673,0.077241562,0.226093102,0.179486051,0.032215242,12.95758343,75.29697418,5669.634766,4.058469296,44.06663513,1941.868286,0.013473709,1.892689705,3.582274437,0.229703546,0.075227492,0.005659175,1963.459636,592.0322196,350502.1491,2120.290904,329.6833833,108691.1332,25.88610864,18.61906231,346.6694812,4627.072021,1285.826491,1653349.765,2.76598769,3.220050059,10.36872238,0.0191639,0.088429216,0.007819726,0.086177294,0.046122555,0.00212729,1.68E-05,0.204892278,0.041980848,-6.45E-05,0.075087972,0.005638203,6.088272109,1.676692972,2.811299323
29,0.814,0.438,Gryffin - Body Back ft. Maia Wright (Official Music Video)-_X--xYexBdI.wav,123.046875,156247,1313,0.319684952,0.294954181,0.086997963,0.364703178,0.283463627,0.080351621,0.2178333,0.189425412,0.035881987,3.71841979,17.68017769,312.5886536,1.070495844,53.6888237,2882.48999,0.009288763,2.249684572,5.061080933,0.126691252,0.031139446,0.000969665,1638.544319,507.4794999,257535.4428,1658.757377,302.2615616,91362.05164,25.90803243,17.17838384,295.0968713,3353.617221,1049.591875,1101643.104,1.641626284,1.786090242,3.190118351,0.002969686,0.096864587,0.009382748,0.084114571,0.039905172,0.001592423,-1.63E-06,0.108442403,0.011759754,-5.11E-05,0.042508237,0.00180695,5.65754195,2.303055198,5.304063243
30,0.816,0.557,Harry Styles - Watermelon Sugar (Official Audio)-7-x3uD5z1bQ.wav,95.703125,120711,1284.159574,0.288622141,0.307190269,0.094365865,0.461059093,0.274579108,0.075393692,0.255582865,0.134204069,0.018010732,12.26962376,82.59612274,6822.119141,-4.32907486,47.35210419,2242.221924,0.007324686,2.644109964,6.991317749,0.211105153,0.097729631,0.009551081,1782.534445,644.2516448,415060.1818,1835.976195,382.020522,145939.6792,26.72051473,17.14507472,293.953587,3865.343293,1355.660358,1837815.008,2.361874382,2.935982157,8.619991224,0.006105737,0.081506349,0.006643285,0.090238872,0.054433855,0.002963045,1.07E-05,0.184621736,0.034085184,4.29E-05,0.093191572,0.00868467,2.146684807,1.165088268,1.357430672
